model,base_model,revision,precision,params,architectures,weight_type,status,submitted_time,model_type,job_id,job_start_time,use_chat_template,sender
Ahdoot/StructuredThinker-v0.3-MoreStructure,,25f5123401151a36ada50cce93c590a259a11150,float16,12.248,MistralForCausalLM,Original,FINISHED,2024-06-26 20:34:56,🔶 : 🔶 fine-tuned on domain-specific datasets,14747539,2024-10-28T12:50:39.851786,True,adamog234
01-ai/Yi-6B-Chat,,8c93accd5589dbb74ee938e103613508c4a9b88d,bfloat16,4.513,LlamaForCausalLM,Original,FINISHED,2025-02-08 22:55:15,🔶 : 🔶 fine-tuned on domain-specific datasets,8097314,2024-11-10T07:53:24.645954,True,Abhaykoul
AALF/gemma-2-27b-it-SimPO-37K-100steps,,6c9aa17cee032523ce17de111d6865e33825cf1d,bfloat16,8.03,LlamaForCausalLM,Original,FINISHED,2024-12-14 23:00:23,🔶 : 🔶 fine-tuned on domain-specific datasets,14367891,2025-02-23T22:44:44.205779,False,Arthur-LAGACHERIE
BoltMonkey/NeuralDaredevil-SuperNova-Lite-7B-DARETIES-abliterated,,df5320d7ff115f1e39e42506ed86a340eb2d12e0,bfloat16,1.777,LlamaForCausalLM,Original,FINISHED,2024-12-13 00:01:56,fine-tuned,14614537,2024-09-16T02:38:10.588912,False,
Daemontatox/TinySphinx,,674c6d49b604fdf26e327e1e86c4fde0724b98e8,bfloat16,14.77,LlamaForCausalLM,Original,FINISHED,2025-02-28 10:13:17,merge,14597378,2025-02-28T13:05:09.277904,False,DeepMount00
Daemontatox/Llama3.3-70B-CogniLink,,fada53c826e3ae5db7a7c10936d2a5d05395ddbe,bfloat16,8.03,Qwen2ForCausalLM,Original,FINISHED,2025-03-08 20:35:44,🟢 : 🟢 pretrained,10885884,2025-02-26T18:50:52.391938,True,Amaorynho
CreitinGameplays/Llama-3.1-8B-R1-experimental,,8b541ace084aa8c95a4e89c0d4c4c64a74bcdf51,bfloat16,3.213,T5ForConditionalGeneration,Original,FINISHED,2024-11-29 16:50:32,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",-1,2025-03-10T03:05:50.933735,False,
CYFRAGOVPL/PLLuM-12B-nc-base,,c8743ee5ca0efd31aa9dd1bd14c770430c85a6c1,bfloat16,8.03,Qwen2ForCausalLM,Original,FINISHED,2024-10-17 06:06:37,merge,14564011,2024-08-12T12:30:23.460571,True,CombinHorizon
Deathsquad10/NoNameBrand_1.1B,,71d99f8fb69276422daae61222e57087000c05b0,bfloat16,7.242,LlamaForCausalLM,Original,FINISHED,2025-03-10 02:22:24,fine-tuned,14395558,2025-01-19T04:17:47.467959,False,nlpguy
Artples/L-MChat-7b,,b91871dcd31fe2e445c233a449d021b47ebfe1fb,bfloat16,12.248,LlamaForCausalLM,Original,FINISHED,2024-11-25 21:44:09,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",7810967,2024-09-10T17:10:32.672317,True,CreitinGameplays
Daemontatox/PixelParse_AI,,d7f840c57c89fd655690a8371ce8f5c82f57ad80,bfloat16,8.03,MixtralForCausalLM,Original,FAILED,2024-12-31 19:48:02,fine-tuned,14704989,2025-02-24T05:38:00.158634,False,
Columbia-NLP/LION-Gemma-2b-sft-v1.0,Ahmedhany216/Fake-news-gen,218d47917320b2bd16edb30f6cba68767973ee91,float16,8.03,Phi3ForCausalLM,Original,FINISHED,2024-12-16 05:11:13,chat,14744210,2024-07-26T11:22:58.665624,False,Daemontatox
Aryanne/QwentileSwap,,104d5e9f5df50c0782ff1a830f7ec3c4943210f3,bfloat16,45.247,Qwen2ForCausalLM,Original,FINISHED,2024-10-08 16:57:26,🤝 : 🤝 base merges and moerges,8894258,2025-02-04T00:44:35.310852,True,CultriX
152334H/miqu-1-70b-sf,,bf2b658dd404c423228e7001498bd69c2d147da2,bfloat16,3.086,Qwen2ForCausalLM,Original,FINISHED,2024-06-12 12:10:07,fine-tuned,13523083,2025-03-05T11:45:58.084573,True,Anoshor
Daemontatox/Cogito-Ultima,,eae32cc9dffa3a2493fd793f7b847e7bb3376853,bfloat16,10.034,LlamaForCausalLM,Original,FINISHED,2024-06-27 06:24:27,🤝 : 🤝 base merges and moerges,10196600,2024-09-09T12:41:50.396493,False,PocketDoc
Alepach/notHumpback-M1-v2.1,,5bab856eaa8836d4f37d736926bdd18b97ac3241,bfloat16,12.248,MistralForCausalLM,Original,FAILED,2024-09-22 02:22:09,chat,14364383,2024-08-12T22:23:24.104636,True,Ahdoot
DavidAU/L3-Jamet-12.2B-MK.V-Blackroot-Instruct,,a9650f3bda8b0e00825ee36592e086b4ee621102,bfloat16,32.764,MistralForCausalLM,Original,FINISHED,2024-06-12 13:42:51,fine-tuned,14614098,2025-01-13T09:32:58.771526,True,Daemontatox
Chan-Y/MathLlama3.1,,4e1c955228bdb4d69c1c4560e8d5872312a8f033,bfloat16,32.764,?,Original,FAILED,2024-12-31 19:23:49,merge,14752987,2024-06-16T17:15:26.863404,True,DavidAU
DavidAU/Gemma-The-Writer-DEADLINE-10B,,a4e3f54a7a3d5db6486cc1bc491a1b38e9883954,bfloat16,2.78,MistralForCausalLM,Original,FINISHED,2024-08-27 07:43:00,🤝 : 🤝 base merges and moerges,8464214,2025-01-17T06:42:47.159663,False,CultriX
CYFRAGOVPL/PLLuM-12B-base,,37545fbc229061956c1801968c33c5b187512c41,bfloat16,14.766,LlamaForCausalLM,Original,FAILED,2024-12-29 07:55:24,pretrained,7811350,2024-11-17T23:21:48.258503,True,SrikanthChellappa
BSC-LT/salamandra-7b,,2bec01c2c5d53276eac2222c80190eb44ab2e6af,float16,34.389,MixtralForCausalLM,Original,FINISHED,2024-10-19 10:51:39,fine-tuned,14364361,,True,
Chan-Y/MathLlama3.1,,0b1829e4631ff716278c81dac4ed1cab655a3505,bfloat16,1.236,Qwen2ForCausalLM,Original,FAILED,2024-06-12 13:27:56,🤝 : 🤝 base merges and moerges,8701155,2024-09-10T03:36:57.109419,False,DavidAU
BeaverAI/mistral-doryV2-12b,,5316ff209ced432a86bec9c8de4d028b27269318,bfloat16,7.768,Qwen2ForCausalLM,Original,FINISHED,2025-02-28 13:05:14,🔶 : 🔶 fine-tuned on domain-specific datasets,14767764,,False,3rd-Degree-Burn
01-ai/Yi-6B-200K,,7c4ee5d33686c4957ec70b30f1504f88198dd073,bfloat16,8.03,LlamaForCausalLM,Original,FINISHED,2024-10-07 18:34:01,pretrained,14749777,2025-02-18T16:07:02.226933,True,Daemontatox
Corianas/llama-3-reactor,,d9bb11fb02f8eca3aec408912278e513377115da,bfloat16,70.554,LlamaForCausalLM,Original,FINISHED,2024-12-19 04:44:54,🤝 : 🤝 base merges and moerges,5777971,2025-02-28T13:47:09.231850,True,DeepMount00
ArliAI/Llama-3.1-70B-ArliAI-RPMax-v1.1,,503c24156d7682458686a7b5324f7f886e63470d,bfloat16,14.77,T5ForConditionalGeneration,Original,FINISHED,2025-01-11 06:28:08,merge,14691724,2024-09-11T14:06:57.841039,True,Daemontatox
Cran-May/merge_model_20250308_4,,33fe7318e700f67458fa3c1872f4821e35d0095a,float16,8.829,LlamaForCausalLM,Original,FINISHED,2024-11-17 01:07:17,pretrained,14694007,2024-09-02T15:39:10.626719,False,Daemontatox
DeepMount00/Llama-3-8b-Ita,,86fed893893cc2a6240f0ea09ce2eeda1a5178cc,bfloat16,-1.0,LlamaForCausalLM,Original,FINISHED,2025-03-09 03:34:21,fine-tuned,8160358,2024-08-12T16:10:35.450883,True,Daemontatox
Dampfinchen/Llama-3.1-8B-Ultra-Instruct,,363c54b904dc3cbd67820d1fca1ec297a49a1857,bfloat16,3.95,LlamaForCausalLM,Original,FINISHED,2024-10-18 18:22:37,fine-tuned,14752975,2024-09-21T07:16:52.355273,True,CombinHorizon
DeepAutoAI/Explore_Llama-3.2-1B-Inst_v1,,643e7615446a20d9ffe7cb66b88a6791cc6ae1eb,float16,10.306,MistralForCausalLM,Original,FINISHED,2025-02-28 22:48:01,fine-tuned,14679878,2025-03-10T02:44:16.033362,False,1024m
DavidAU/Qwen2.5-QwQ-35B-Eureka-Cubed,,7f7fb7662fd8ec09029364f408053c954986c8e5,bfloat16,11.52,MistralForCausalLM,Original,FINISHED,2024-06-12 12:06:41,fine-tuned,9414459,2024-12-29T08:41:55.162868,False,Davidsv
DUAL-GPO/zephyr-7b-dpo-0k-15k-0.001-i1,,1ef63c4993a8c723c9695c827295c17080a64435,float16,3.213,MistralForCausalLM,Original,FINISHED,2025-01-06 15:40:12,merge,14364386,2024-09-24T07:17:47.887728,True,Daemontatox
Danielbrdz/Barcenas-14b-phi-4,,99ede7d64184a107a405eea01f0a3eb5dc9f669a,bfloat16,14.77,LlamaForCausalLM,Original,FAILED,2025-02-08 00:38:27,🔶 : 🔶 fine-tuned on domain-specific datasets,-1,2025-03-01T03:27:17.104749,True,adamog234
BAAI/Infinity-Instruct-7M-0729-Llama3_1-8B,,352c4b6f9a3580ca831bc6698978ed8e89e0075a,float16,28.309,MistralForCausalLM,Original,FAILED,2024-12-23 23:27:29,🔶 : 🔶 fine-tuned on domain-specific datasets,13624509,2025-02-06T07:48:59.202507,True,Azure99
DevQuasar/coma-7B-v0.1,,9509dee6b01fff1a11dc26cf58d7eecbe3d9d9c4,bfloat16,7.616,GemmaForCausalLM,Original,FAILED,2025-03-10 02:24:18,🔶 : 🔶 fine-tuned on domain-specific datasets,14690867,2024-08-12T13:33:31.386208,False,
DeepMount00/mergekit-ties-okvgjfz,,26a66f0d862e2024ce4ad0a09c37052ac36e8af6,bfloat16,1.236,LlamaForCausalLM,Original,FINISHED,2024-09-23 13:53:47,🤝 : 🤝 base merges and moerges,9644515,2025-01-06T15:43:34.106895,False,Daemontatox
Aoyinke/qwen2-merged,,06acee7f6e9796081ced6201001784907c77f96f,bfloat16,14.766,Qwen2ForCausalLM,Original,FINISHED,2024-08-05 19:30:54,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",11599203,2025-01-30T10:53:34.806747,False,Davidsv
BSC-LT/salamandra-7b-instruct,,e20f8087a9507ac8bce409dc5db5d0c608124238,float16,14.766,Qwen2ForCausalLM,Original,FINISHED,2024-09-21 07:18:10,chat,13315361,2024-06-16T17:32:12.069240,False,3rd-Degree-Burn
DavidAU/Qwen2.5-MOE-6x1.5B-DeepSeek-Reasoning-e32,,157a3d77ab5a8a8f079510eaa25169b547481f06,bfloat16,27.227,LlamaForCausalLM,Original,FAILED,2025-01-17 06:42:02,🤝 : 🤝 base merges and moerges,14749780,2024-12-23T05:55:57.286809,False,
Alepach/notHumpback-M1,,90df996cdb1f3d5f051513c50df4cdfda858b5f2,float16,14.352,MistralForCausalLM,Original,FINISHED,2024-09-21 15:22:53,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",11606496,2024-08-12T11:38:01.870297,True,Cran-May
01-ai/Yi-1.5-34B-Chat,,d149d83d8e8f3883421d800848fec85766181923,bfloat16,3.213,LlamaForCausalLM,Original,FAILED,2024-09-19 03:31:01,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",14681386,2024-10-19T10:52:23.643442,False,Delta-Vector
BAAI/Infinity-Instruct-3M-0625-Yi-1.5-9B,,26a66f0d862e2024ce4ad0a09c37052ac36e8af6,float16,4.015,LlamaForCausalLM,Original,FINISHED,2024-07-29 15:58:31,🔶 : 🔶 fine-tuned on domain-specific datasets,14395731,2025-03-06T14:27:12.208140,False,CombinHorizon
DZgas/GIGABATEMAN-7B,,9b48520ec1a777be0f1fd88f95454d85ac568407,bfloat16,8.03,Qwen2ForCausalLM,Original,FINISHED,2025-03-01 17:49:09,🟢 : 🟢 pretrained,14753589,2024-06-16T21:48:47.602488,False,Alepach
Deci/DeciLM-7B-instruct,,17c6339702cda2eb3feb08aec58b8e681ac4e678,bfloat16,46.703,MistralForCausalLM,Original,FINISHED,2025-02-28 13:07:52,fine-tuned,14394791,2024-11-19T22:26:02.714730,False,alozowski
DavidAU/DeepSeek-BlackRoot-R1-Distill-Llama-3.1-8B,,09339d9c3b118ae3c6e7beab8b84347471990988,bfloat16,7.616,DeciLMForCausalLM,Original,FAILED,2025-01-16 02:15:28,merge,5778446,2025-02-06T01:37:14.527794,True,adamog234
DeepAutoAI/causal_gpt2,,f30737e92b3a3fa0ef2a3f3ade487cc94ad34400,float16,32.764,GemmaForCausalLM,Original,FAILED,2024-08-19 01:56:18,continuously pretrained,7811258,2024-12-29T07:11:38.692673,True,Daemontatox
AI-MO/NuminaMath-7B-TIR,,36651591cb13346ecbde23832013e024029700fa,bfloat16,14.491,MistralForCausalLM,Original,FINISHED,2024-10-08 06:28:22,🔶 : 🔶 fine-tuned on domain-specific datasets,10885334,2024-07-29T19:17:37.515663,True,
BlackBeenie/Llama-3.1-8B-OpenO1-SFT-v0.1,,26a6671a48c0023293c447932798a3ec72b55a29,bfloat16,5.717,Qwen2ForCausalLM,Original,FINISHED,2025-02-16 06:01:54,merge,11475325,,False,BoltMonkey
AuraIndustries/Aura-MoE-2x4B-v2,,d61b1849fbde09970e3bd355bb5d6ec918e3a3a1,bfloat16,34.389,Qwen2ForCausalLM,Adapter,FAILED,2024-09-21 16:32:41,merge,7818173,2025-01-26T18:49:01.453485,True,Daemontatox
BasiliskLabs/Sovereign-0.1-72B,,39b96b8ceca904a96a5e3e524c2a9513f1850bdd,bfloat16,10.159,MistralForCausalLM,Original,FAILED,2025-03-09 03:32:58,merge,14690843,2024-07-26T07:39:12.587538,True,Daemontatox
Dans-DiscountModels/Dans-MemoryCore-CoreCurriculum-TestLora-1,DUAL-GPO/phi-2-sft-lora-ultrachat-merged,0e7dac17e39f161865e1dd76602295201415608f,bfloat16,2.506,Qwen2ForCausalLM,Original,FINISHED,2024-11-25 22:28:37,fine-tuned,8095324,2024-12-19T18:07:07.396017,False,legolasyiu
ClaudioItaly/Evolutionstory-7B-v2.2,,b6bb9172444c07e51ad16e8092d0f23e864a8956,bfloat16,8.03,Qwen2ForCausalLM,Original,FINISHED,2025-03-10 15:05:00,🤝 : 🤝 base merges and moerges,8097285,2024-09-05T02:37:49.963702,True,
Davidsv/SUONG-3,,5d4b420e8c7defbb33dd50f8a590b6fd032d21bb,float16,46.703,Qwen2ForCausalLM,Original,FINISHED,2024-12-13 10:18:35,fine-tuned,13133480,2024-12-24T05:19:16.879538,False,Dampfinchen
BramVanroy/fietje-2-instruct,,2b21473c8a086f8d0c54b82c3454bf5499cdde3a,bfloat16,14.766,LlamaForCausalLM,Original,FINISHED,2024-11-02 23:16:58,chat,8902106,2024-07-25T14:55:19.679843,False,Aryanne
CoexistAI/deep_ft_r3_hf_16bit,,622c0a58ecb0c0c679d7381a823d2ae5ac2b8ce1,bfloat16,14.766,Gemma2ForCausalLM,Adapter,FINISHED,2025-02-16 05:55:05,🔶 : 🔶 fine-tuned on domain-specific datasets,13995570,2024-08-19T13:55:43.458342,True,csabakecskemeti
DavidAU/Gemma-The-Writer-9B,,180175561e8061be067fc349ad4491270f19976f,float16,1.777,LlamaForCausalLM,Original,FAILED,2024-07-21 07:29:43,🔶 : 🔶 fine-tuned on domain-specific datasets,14691764,2024-10-13T17:16:38.055406,False,DavidAU
01-ai/Yi-1.5-9B-Chat-16K,,5f84709710dcce7cc05fa12473e8bb207fe25849,bfloat16,32.764,CohereForCausalLM,Adapter,FINISHED,2025-03-09 00:59:02,🔶 : 🔶 fine-tuned on domain-specific datasets,7812670,2024-12-31T19:20:49.288071,True,adamog234
CYFRAGOVPL/Llama-PLLuM-70B-chat,,22dd37b5d3b433069b1685d6b1f01035e3c4a817,bfloat16,7.242,LlamaForCausalLM,Original,FINISHED,2025-03-08 13:55:48,merge,13995560,2024-09-13T16:47:58.909791,True,DavidAU
Daemontatox/PathfinderAI5.0,,d544e389f091983bb4f11314edb526d81753c919,4bit,8.03,LlamaForCausalLM,Original,FINISHED,2024-07-04 08:46:07,fine-tuned,10336213,2025-03-08T21:58:01.867528,True,SrikanthChellappa
Amu/t1-1.5B,,8bf0e31b23ee22858bbde2cee44dde88963f5084,float16,9.242,LlamaForCausalLM,Original,FINISHED,2024-10-28 14:46:36,🤝 : 🤝 base merges and moerges,8653574,2024-11-21T12:33:28.417944,True,3rd-Degree-Burn
Caesarisnotasalad/SmolLM-360M-Capybara-ORPO,,99ede7d64184a107a405eea01f0a3eb5dc9f669a,bfloat16,8.03,Qwen2MoeForCausalLM,Original,FINISHED,2025-03-09 03:32:41,🔶 : 🔶 fine-tuned on domain-specific datasets,10196593,2025-03-07T19:55:02.898098,True,Aashraf995
CultriX/Qwen2.5-14B-Hyper,,6b74d29b20a99f2cc681967178c98413f933f982,bfloat16,14.77,Gemma2ForCausalLM,Original,FINISHED,2024-06-26 17:29:57,fine-tuned,10160584,2025-02-18T16:01:37.626754,False,
AtAndDev/Qwen2.5-1.5B-continuous-learnt,,e799c6877cb70b6e78c1e337eaa58383040c8fa9,bfloat16,14.766,LlamaForCausalLM,Original,FINISHED,2024-09-07 16:15:04,chat,14691775,2024-12-31T19:48:52.448243,True,adamog234
CultriX/SeQwence-14B-EvolMergev1,,b1e2f12f5224be9f7da0cb5ff30e1bbb3f10f6ca,bfloat16,8.03,LlamaForCausalLM,Original,FAILED,2024-06-13 18:10:21,merge,14364345,2024-08-12T12:33:12.375735,True,andresparraguirado
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,,e373a84c38c369967edd4ba037d24dba7cb35738,bfloat16,72.706,MistralForCausalLM,Original,FAILED,2025-02-18 16:26:48,fine-tuned,14394272,2024-07-25T09:43:28.863498,True,Daemontatox
Danielbrdz/Barcenas-10b,,6acc1308274031b045f028b0a0290cdbe4243a04,bfloat16,10.306,LlamaForCausalLM,Original,FINISHED,2024-11-27 19:57:01,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",14016380,2024-09-23T09:35:53.904591,False,Amaorynho
CultriX/Qwen2.5-14B-HyperMarck-dl,,ff74452e11f0f749ab872dc19b1dd3813c25c4d8,bfloat16,0.494,MllamaForConditionalGeneration,Original,FINISHED,2025-01-23 10:05:43,🔶 : 🔶 fine-tuned on domain-specific datasets,13624508,,True,SuperNintendoChalmers
BenevolenceMessiah/Qwen2.5-72B-2x-Instruct-TIES-v1.0,,d43a819172ee7464e0dafc985fd9fdd0fd50df35,bfloat16,1.544,LlamaForCausalLM,Original,FAILED,2024-12-27 07:25:27,🤝 : 🤝 base merges and moerges,5779919,2025-02-23T19:58:52.293157,False,CombinHorizon
Daemontatox/Zireal-R1,,479b068ff6975774ee12ab8a4fa02525d146ccde,float16,32.764,LlamaForCausalLM,Original,FINISHED,2024-12-23 05:53:57,chat,5777931,2025-03-02T22:13:14.719654,False,SuperNintendoChalmers
Daemontatox/DocumentCogito,,9e4ae1310a0d2c82d50fe2aedc94ef084901ac48,float16,70.554,Qwen2ForCausalLM,Original,FINISHED,2024-12-10 23:50:15,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",14694953,2024-10-10T19:42:46.025317,False,BraylonDash
DeepMount00/Llama-3.1-Distilled,meta-llama/Llama-3.2-1B,e286bfafbc28e36859202c9f06ed8287a4f1d8b6,bfloat16,14.766,LlamaForCausalLM,Original,FINISHED,2024-06-12 12:06:32,fine-tuned,13652405,2024-10-11T13:33:29.520802,False,DeepMount00
CoolSpring/Qwen2-0.5B-Abyme,,53b197b95c7a5b0b2fb23e40face26c94805e43e,float16,72.706,LlamaForCausalLM,Original,FINISHED,2024-12-25 04:25:37,🔶 : 🔶 fine-tuned on domain-specific datasets,5778506,2024-12-11T01:29:49.659606,True,pszemraj
Arthur-LAGACHERIE/Precis-1B-Instruct,,b602beb38b9a82ac497e6689751927eca9dbd876,bfloat16,7.616,Qwen2ForCausalLM,Original,FAILED,2024-08-29 07:25:09,🟢 : 🟢 pretrained,14017711,2025-01-13T09:21:43.127203,True,Daemontatox
DavidAU/Qwen2.5-QwQ-35B-Eureka-Cubed-abliterated-uncensored,,4fea400b8c87ab929f5dd5df62d1bd92635a66d1,bfloat16,14.766,MistralForCausalLM,Original,FINISHED,2024-07-04 14:48:51,🤝 : 🤝 base merges and moerges,8094633,2024-09-02T13:37:33.562023,False,CombinHorizon
01-ai/Yi-Coder-9B,,995f029f6645dde1ef830406001754b904c49775,bfloat16,12.248,CohereForCausalLM,Original,FINISHED,2024-11-02 14:16:02,🤝 : 🤝 base merges and moerges,14694003,2024-08-12T16:17:38.093015,True,lole25
DebateLabKIT/Llama-3.3-Argunaut-1-70B-SFT,,ff7e3044218efe64128bd9c21f9ec66c3de04324,bfloat16,7.242,MistralForCausalLM,Original,FAILED,2025-01-30 10:01:50,🔶 : 🔶 fine-tuned on domain-specific datasets,8767825,2024-06-17T09:04:46.768248,False,Aryanne
Delta-Vector/Control-8B,,d8d86c6dc1b693192931b02e39290eca331ae84e,bfloat16,3.086,MistralForCausalLM,Original,FINISHED,2024-09-15 13:31:36,🤝 : 🤝 base merges and moerges,7811846,2024-12-29T04:02:54.959118,True,gr0010
CultriX/Qwen2.5-14B-Wernicke-SLERP,,79e1b4ba9fc13f3a3c4dafc1ef2228e3655e9506,bfloat16,34.389,Qwen2ForCausalLM,Original,FINISHED,2024-12-30 13:44:18,merge,13660578,2025-03-02T22:16:21.132155,True,DavidAU
Daemontatox/EyeofHorus,,7d86cfe7522a080853a6c25f7115fa5106c9d671,bfloat16,3.808,GlmForCausalLM,Original,FINISHED,2024-09-10 17:09:22,fine-tuned,9567420,2024-06-16T17:19:58.908042,True,
CultriX/Qwen2.5-14B-HyperMarck,,91ea35e2e65516988021e4bb3b908e3e497e05c2,float16,8.058,Qwen2ForCausalLM,Original,FAILED,2025-02-06 16:19:33,fine-tuned,7797999,2025-02-06T05:09:40.096339,True,CultriX
BarraHome/Mistroll-7B-v2.2,,597a11bc03462e67c98ecc8312a307cb385b9861,bfloat16,14.77,Qwen2ForCausalLM,Original,FAILED,2025-02-06 06:54:21,fine-tuned,13578863,2024-08-12T14:08:44.833288,True,
Baptiste-HUVELLE-10/LeTriomphant2.1_ECE_iLab,,a53faf62d0f99b67478ed9d262872c821a3ba83c,bfloat16,10.67,MixtralForCausalLM,Original,FINISHED,2024-12-24 05:16:29,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",10885447,2024-12-23T23:31:16.969108,False,Daemontatox
AI-Sweden-Models/gpt-sw3-40b,,77ddccbc7d9f9ffd55a8535365e8eebc493ccb8e,float16,7.616,LlamaForCausalLM,Original,FINISHED,2024-11-24 22:50:17,🔶 : 🔶 fine-tuned on domain-specific datasets,8616004,2024-12-18T03:03:21.529174,False,DavieLion
Amaorynho/BBAI09V1_calme-2.3-llama3.1-70b,,6d8ceada57e55cff3503191adc4d6379ff321fe2,bfloat16,8.03,Gemma2ForCausalLM,Original,FINISHED,2024-06-26 21:28:41,🟢 : 🟢 pretrained,9555013,2024-10-04T09:02:59.059635,True,
CohereForAI/c4ai-command-r-plus,,523790b424a66cfcbef03bfb360686d7e51d81c0,bfloat16,8.03,Gemma2ForCausalLM,Original,FINISHED,2024-12-29 07:09:26,🟢 : 🟢 pretrained,14017489,2024-10-11T12:49:38.797550,False,007ankit
ConvexAI/Luminex-34B-v0.2,,5e4deeeb286b7a2e35a6d16989e64df860f7f4e5,bfloat16,34.389,LlamaForCausalLM,Adapter,FINISHED,2024-06-26 17:40:40,🔶 : 🔶 fine-tuned on domain-specific datasets,-1,2025-01-13T12:19:23.029322,False,Corianas
Anoshor/fine-tuned-model,,eda8b4298365a26c8981316e09427c237b11217f,bfloat16,14.766,Qwen2ForCausalLM,Original,FINISHED,2025-01-26 18:45:26,fine-tuned,6065670,2024-09-23T09:27:20.289828,False,richardburleigh
DavieLion/Llama-3.2-1B-SPIN-iter1,,1ed5318f6bf5461efa5168289ab6786f4987ca96,bfloat16,14.66,LlamaForCausalLM,Original,FINISHED,2025-03-01 03:24:20,merge,7817383,2025-01-13T12:04:04.014758,True,CultriX
AIJUUD/JUUD_Barun_GPT_V1,,1ed6a90da30dfd6639f022ff7af74f9872352e9e,bfloat16,2.775,LlamaForCausalLM,Original,FAILED,2024-07-10 18:19:33,fine-tuned,14749775,2024-11-22T08:10:19.573277,False,AndreasThinks
DeepMount00/Lexora-Lite-3B_v2,,a5caa8036d8b7819eb723debe3f037471b5c4882,bfloat16,1.497,LlamaForCausalLM,Original,FAILED,2024-06-12 12:27:37,🔶 : 🔶 fine-tuned on domain-specific datasets,5780188,2024-09-13T16:39:20.649198,True,adamog234
DeepMount00/Qwen2-1.5B-Ita_v2,,ab5dbaaff606538db73b6fd89aa169760104a566,bfloat16,8.03,Gemma2ForCausalLM,Original,FAILED,2024-09-03 19:35:14,chat,14596946,2024-08-12T21:03:07.514804,True,BenevolenceMessiah
Ahdoot/Test_StealthThinker,,8979241089bc73efdb2b89c47fcadc90586d7688,bfloat16,34.389,MistralForCausalLM,Original,FINISHED,2024-08-05 19:42:43,🤝 : 🤝 base merges and moerges,13489650,2025-03-02T22:07:18.442704,True,Daemontatox
Black-Ink-Guild/Pernicious_Prophecy_70B,,ac6f1c0b756412163e17cb05d9e2f7ced274dc12,bfloat16,70.0,LlamaForCausalLM,Original,FINISHED,2024-06-12 12:27:22,merge,14749719,2025-03-09T03:36:46.876002,False,CultriX
007ankit/mergekit-ties-xbmrcyj,,ac2b889b9d37f28125c4c2109799e479f6bf8e38,bfloat16,6.91,Qwen2ForCausalLM,Original,FINISHED,2025-03-08 04:13:38,merge,8900651,2024-08-21T13:22:47.315374,False,DavidAU
Cran-May/T.E-8.1,,ef5c5f13ab01d574ee0512d618b41177fec19a66,float16,8.028,LlamaForCausalLM,Original,FINISHED,2024-12-11 01:36:26,merge,14359218,2024-12-31T19:23:49.382522,False,Delta-Vector
Daemontatox/PathFinderAI2.0,,adecb879fc4c585b789f36f19d5bccc150f40837,bfloat16,8.03,LlamaForCausalLM,Original,FINISHED,2024-06-26 18:02:48,🤝 : 🤝 base merges and moerges,8698546,2024-09-29T17:09:29.223744,False,nlpguy
Alsebay/Qwen2.5-7B-test-novelist,,62172ccb670864070581498fb12e7d2594ac3a77,bfloat16,70.554,LlamaForCausalLM,Adapter,FINISHED,2024-10-25 19:40:22,fine-tuned,14087373,2024-10-17T04:58:17.239129,False,DavidAU
01-ai/Yi-9B,,c53d166f4f2996a5b7f161529f1ea6548b54a2b2,bfloat16,7.616,Qwen2ForCausalLM,Original,FAILED,2024-09-01 18:06:09,🔶 : 🔶 fine-tuned on domain-specific datasets,14745300,2024-09-30T08:31:51.251378,False,Cran-May
Daemontatox/Cogito-MIS,,3a0b90db5f90490eb05e757355b711b59fca7b95,bfloat16,7.242,MllamaForConditionalGeneration,Original,FAILED,2024-12-13 09:43:51,🤝 : 🤝 base merges and moerges,14685438,2025-02-06T16:20:58.960025,False,1024m
DeepMount00/Lexora-Medium-7B,,4754976361b6f11107115121ff8bcb942c9b8b7e,bfloat16,7.242,PhiForCausalLM,Original,FINISHED,2024-10-28 12:54:24,🔶 : 🔶 fine-tuned on domain-specific datasets,8138998,2024-06-23T04:42:07.776319,True,
CausalLM/35b-beta-long,,24fac6bce6a46df86f9c1795b1c25033dd09ea8a,4bit,1.544,Qwen2ForCausalLM,Original,FAILED,2024-12-31 19:50:52,chat,8095120,2024-06-16T17:27:48.954729,False,Daemontatox
AIJUUD/QWEN2_70B_JUUD_V2,meta-llama/Llama-2-7b-chat-hf,6cc7116cdea757635dba52bb82a306654d118e77,bfloat16,7.613,Qwen2ForCausalLM,Original,FINISHED,2024-09-19 14:30:00,chat,7812618,2024-07-22T09:54:14.040052,False,DavidAU
1024m/PHI-4-Hindi,,95a95ccc16bb0d1c36a78e2bdf68bc60148608a3,float16,32.764,Qwen2ForCausalLM,Original,FINISHED,2025-01-17 21:03:18,🤝 : 🤝 base merges and moerges,14692739,2025-01-23T11:15:48.012921,False,CombinHorizon
