goal,sol1,sol2,label
To cut perfect cookies,Apply a small amount of toothpaste on a soft cloth and then rub it into the sunglasses. Rinse with water.,Use a pipe to hold up the table and run the wires down through it.,0
How to mail a letter.,One could make a leather belt.,"First be sure to cover any plants you do not wash to harm, then spray a mixture of one gallon white vinegar; 1 cup salt; 1 tablespoon liquid dish soap on the flowers. You will notice them dying off in a few days.",0
How can I make chocolate ice cream?,freeze the onions for twenty minutes before cutting.,"2½ oz. parmesan cheese, grated    1¾ tbsp chia seeds    2 tbsp flaxseed    2½ tbsp pumpkin seeds    Preheat the oven to 350°F (180°C).    Line a baking sheet with parchment paper.    Mix the cheese and seeds in a bowl.    Spoon small mounds of the mixture onto the baking sheet, leaving some space between them. Do not flatten the mounds. Bake for 8 to 10 minutes. Check often. The chips should be light brown to very dark brown.    Remove from the oven and let cool before removing the chips from the paper and serving.",0
Apply first coat of paint to ceiling.,"Cut bed sheet into a pouch, fill with cooked rice and sew.",Score the back side of the leather piece.,1
paper towel,Leaving the windows closed and turning your Air conditioner on is cheaper.,Cut large candle holders from pool noodle.,0
How to Fix a Running Toilet,Using white distilled vinegar is that your washer will be left much fresher and cleaner than if you use a commercial fabric softener. Fabric softener residue traps bacteria and encourages the growth of mold and mildew and causes odor in front load washers.,"Get any type of wax/scent warmer, fill about a tablespoon of laundry crystals into it. Turn it on (or light it up) and enjoy the smell.",0
Double the amount of juice extracted from lemons.,Let the concrete set for 48 hours. Remove the concrete from the wooden form and sand down the corners. Put on a concrete sealer.,"Place your eggs in a pot and cover with cold water by 1 inch, bring to a boil over medium-high heat, then cover, remove from the heat and set aside 8 to 10 minutes.",1
"To make use out of a torn pair of jeans that are torn below the knee,",Take a piece of duct tape and put it to the outside where it is ripped.,Measure out the amount of beeswax you want to melt. Boil one cup of water inside of a pot. Reduce the heat on the stove to low and fill a smaller glass bowl with the water in the pot. Put the beeswax into the glass bowl. Stir the beeswax slightly as it melts to allow the heat to melt it all the way through.,1
"To power off your iPhone,",Combine all ingredients in a bowl. Mix them together and then place in a freezer to chill.,Put pancake mix into an empty ketchup bottle to help make more efficient pancakes in a cleaner kitchen.,0
how to insert a ps4 game into the ps4,"Freeze the milk, but make sure the jug is not more than 5/4 full at most. Then just let the milk thaw when you get back.",Use a butter knife for larger screws.,0
teaspoon,Finely chop them into small pieces to spread out the flavor,Place two bags of jasmine tea in bath water.,1
How to make a wheel out of plywood,use towel,slides off tweezers ,1
Natural mosquito repellent?,can wet food while you're eating,"The easiest solution is to temporarily attach a “carrier board” of the same thickness, edge to edge, using pieces of double-sided tape every 6 in. It’s a lot safer too.",0
How to preserve whole grapes.,Recharge Your Phone From the Hotel Room TV,Use accented letters for extra security.,1
How to prepare a bath.,can be combined with  water to make tortillas,chew on it until it loses its flavor then spit it out.,1
Clean a hairbrush.,place it at the head of the bed.,"Spray some silicone spray onto the rusted hinges, and let sit for 30 minutes",0
How to decorate car canopy planters.,"Fleece, felt, matching threads, stuffing, sewing needle and scissors","Choose a pressure washer with a setting of 1200 – 1900 PSI. It's safe to use for cars, so you won't need to worry about damaging the paint on your car. Experts recommend using a pressure washer with 1.4 – 1.6 GPM. There are several different sizes of nozzles that can be used with a pressure washer. Wipe with steel wool after.",0
How long should I make a magic wand?,Apply a small amount of rubbing alcohol on the jacket and rub it in,"If filling gets stuck on the side of the blender, you can scrape it with a spatula.",1
push pin,Use strong gardening metal wire on the inside of the inner tube art,"Pour a can of Coca-Cola into the toilet bowl, and let it sit overnight. Then wash it with soapy water, and flush clean.",0
how to lock a tape measure.,"Open the curtain, get in, take the soap and spread it across your body, then rinse off and dry",Your baking pans should be light colored rather than dark. Cookies baked on dark pans will tend to burn on the top.,1
"To be able to hear the television better,",Upload the documents onto the web.,"Use a paring knife to cut a pocket in the side of about 24 dried figs. Tuck a small thin strip of orange zest, a blanched almond and a small piece of bittersweet chocolate into each pocket. Dip the bottoms of the figs in 4 ounces melted bittersweet chocolate and heated sizzle platter on a parchment-lined baking sheet until set.",1
To prevent sticking in juice-soaked gummy bears,"First, you need to measure the piece of wood you would like to put felt on, then measure the felt and cut it with scissors, then attach the felt to the wood with hot glue.",Use old frozen vegetable bag.,1
Retreive a stuck item from a vending machine.,"You get a shampoo bottle and make two holes, one hole needs to be big enough for the plug in part to fit and one hole needs to be able to hold your cellphone while it is hanging.",Using white distilled vinegar is that your washer will be left much fresher and cleaner than if you use a commercial fabric softener. Fabric softener residue traps bacteria and encourages the growth of yeast and mildew and causes odor in front load washers.,0
How to you attach a piece of felt to a piece of wood?,Place the filling in a bowl then in the refrigerator covered overnight,pull the rope down.,0
food processor,Thread ruler through the holes and tie in a bow.,Place 2-3 drops of cold temperature olive oil in the ear canal to help soothe the area and leave it alone for a while.,0
How to Lose Weight by Eating Slowly,"12  lamb cutlets    6 slices bacon chopped    1/2 cup bbq sauce    1 tablespoon fresh rosemary leaves    Instructions    In a large frying pan over moderate high heat cook cutlets 2 to 3 minutes.    Turn and cook for 2 to 3 minutes.    Set aside, cover with foil.    Into pan juices, sauté bacon until golden.    Add brown gravy and rosemary. Stir.    Place cutlets onto serving board or plate and top with sticky bacon mix.",can be combined with  eggs to make tortillas,1
pliers,"In the greenhouse area, produce, as your normally wood, the soil, compost and seeds you need for your vegetables and install a heated fixture to keep the temperature in the room accurate for the gardener to work",Use a toothpick to apply shadow.,1
How to do you stop a door hinge from squeaking?,You should coat the wooden bowl with a butcher block oil & finish per manufacturer directions.,Use a hand drill to cut the handles.,1
Seal paper to cardboard.,Use your key and turn it to the left,"Vitamin C face oil should be stored in a warm, sunlit place.",1
How do you wash ginger root?,Mix vegetable oil and baking soda to form a paste.Use the paste on a toothbrush to clean and shine cabinet doors.Wipe with a wet cloth to remove any residue without taking off the shine.,transfer the eggs to a hot water bath,1
To build a compost bin,"Spread rubber cement on the back of the frame, and place wood slats next to each other until the frame is covered.",Drink a lot of fluids.,1
How can you make long cuts on boards that are narrow?,Add a few drops of non sour fruit juice and stir with a spoon.,marks up old black and white movie for viewing,1
How do ensure the shelves will fit?,Hold gift over boiling water to let the steam release the tape adhesive.,Fill the rest of the planter with wood chips and plant drought-resistant plants.,1
How to burn your name into wood.,Cut through the paper into the gypsum core with a utility knife then while supporting the drywall sheet on the back apply pressure to the face causing it to break along the joint. Then cut through the paper on the back of the drywall sheet with your utility knife.,Add water and flour to the melted chocolate.,1
how to easily slice avocados,fill the bin with alternating layers of dirt and dead skin.,Make Italian Cheese Mash; top with 2 teaspoons minced rosemary mixed with the grated zest of 100 lemon.,0
Pre-warm work clothes that will be worn the next morning.,"In a medium colander combine the yeast, sugar, and water and let sit until foamy (takes about 5-10 minutes).",Combine all ingredients in a bowl. Mix them together and then place in a oven to chill.,1
How do you put out a candle?,Wipe the motor down with an oily rag.,- Glue sticks (10 -15 pieces). Choose clear glue sticks.    - flashlight    - 2 pieces plastic grocery bags.    - paper plate with foil(used as a reflector.    - adhesive tape.    - colored underwear    - glue    - scissors    - knife or wire cutter    - marker,0
One seeks to decorate their fire place.,"Place your eggs in a pot and cover with no water by 1 inch, bring to a boil over medium-high heat, then cover, remove from the heat and set aside 8 to 10 minutes.",stir alcohol in a  microwave quickly,1
To clean a drain,chew on it until it loses its flavor then swallow it.,Press the edge of a spoon down into the dough to cut it.,0
ladders,turn the pair of jeans into a t shirt by putting the pant sleeves over your arms.,nourishes people who are lactose-intolerant ,0
How do I remove vinyl wall art from the walls?,Measure out the amount of beeswax you want to melt. Boil one cup of water inside of a pot. Reduce the heat on the stove to low and place a smaller glass bowl into the water in the pot. Put the beeswax into the glass bowl. Stir the beeswax slightly as it melts to allow the heat to melt it all the way through.,squeeze all the juice out of them.,1
Make a gift card holder.,can be a cheap mitten when nothing else is available,"When frying the croquette use only a small amount of cooking oil, once they've been cooked remove from the pan and allow to rest on a cooling rack",0
To add sugar and edible glitter to candy apples.,can be thrown like a spear ,Pop a slice of pizza in your mouth and hold it to the roof of your mouth for 30 seconds.,1
How can I keep snow from sticking to a snow shovel?,"Instead of blowing, lick your finger tips and press them against the wick quickly",keep defending yourself to whoever you're arguing with.,1
How to eat for health,Use a small spoon,Identify your strengths and target them with drills.,0
To form the melted beeswax and shea butter mixture into a usable shape as a lip balm.,Use a steak knife.,"If you do not have a blender, you can crush the cookies in a ziplog bag with a rolling pin and mix in the butter with a grater.",0
"To make popcorn flavored toothpaste,","Take a tablespoon of cookie dough and roll it into a ball, place the cookie on a baking sheet and use the bottom a glass to flatten the ball, then take a cross pendant that you might have and press it one way into the cookie and then repeat in the opposite direction for the criss-cross design.",Hang the towel over a hanger outside in a windy area and allow it to dry,1
"To prevent eye infections,","Preheat oven to 350 degrees.    Wash pumpkin and cut in half. Remove seeds and pith.    Rub pumpkin with olive oil inside and out. Sprinkled with salt.    Place on a baking tray, cut side down. Bake 35-40 minutes or until tender when pierced.    Allow to cool and remove skin with a knife. Pumpkin can be cubed or pureed.",add cocoa powder to the flour,1
What can I do to store documents externally and privately.,"Pour 1 cup baking soda and 2 cups drywall mud into the toilet. Allow it to fizz for a half hour. If the clog doesn't dissipate, try the hot water trick to unclog a toilet without a plunger","Fleece, felt, matching threads, newspaper, sewing needle and scissors",1
how do you draw with chalk?,Use a hula hoop to hang a bed sheet from tree.,"On the lower left corner of the video screen, click the gear icon to open settings. Click Playback speed. Click the desired playback speed.",0
"To make Christmas feel more magical,",Combine strawberries and sugar in a dishwasher and blend until smooth. Pour into empty baby food jars.,"go to the showing you want to record, and click on the record option. then leave your dvr on so it will record at the time it airs.",1
milk,Buy a small plastic kids slip and slide and pour sand half way full.,Study shows Vitamins can make you avoidably stinky.,1
"To mix flour and salt together for a crust, you can",Take the ginger root and place it under cold running water. User your fingers to gently scrub the surface of the ginger.,"Cover the old cement with a layer of crushed rock, followed by a layer of top soil.",1
how to make a peppermint stripe,"Use small scissors or a seam ripper to undo the inseam. You should have two wide flared rectangle pieces and two thinner rectangles. Arrange the pieces as shown, wide, thin, wide, thin and sew apart to make a skirt.",You will do a braid from the first left upper side down to the bottom right side.,0
How do I melt wax ?,Place paper towels on the back of the latex,Polish exterior of shoes with hairspray.,0
To Make a Breakfast Pizza,alters sand ,Upload the documents onto a flash drive.,1
"To remove the seeds of a jalapeno without damaging the pepper,","mix nutmeg, cinnamon and sugar,","hold the box with one hand, stick your finger under the top flap where the the hole is, peel it back and off, discard.",0
"To easily store and identify bed sheet sets,","Squeeze the juice from many oranges into a pitcher, making sure to include any seeds.",One could make a parachute cord belt.,1
Prevent fleas in house.,Use a jig saw to cut your plywood into a circle to make a wheel.,Look at the tree slice and look for the smaller rings that have no water. These years are when there was drought.,0
How do you get rid of a wasp's nest outside of your home?,can measure gaps between rafters,open the blinds to prevent light from coming into the windows.,0
How do you cut gnocchi without a knife?,Tear the packer open in the middle.,Use masking tape to hold the sections of pipe in place,0
How to best mow the lawn,"Rinse them off under cold water in the sink, gently brushing the dirt off with a small brush.",paint blender ,0
get wine out carpet,can hold over a gallon of cold spring water to serve,can break a camera. camera ,1
Get pumpkin seeds for roasting.,"First, open the microwave door and insert your food inside the microwave. Close the microwave door and enter the amount of time you would like to microwave your food for. Once completed, press start to microwave your food.",cut the top off with scissors,0
How can I make my margarita more sour?,put it on around your wrist.,Use a VR workout game like beat saber or creed.,0
How to peel an onion.,nourishes most people ,A heat gun could cause it to expand and loosen.,1
Make a secure password for smartphone.,can see items that are huge,Place tissue paper on the back of the latex,0
"To keep from having to cook everyday,","Use a Zip-It, its a long, slender piece of plastic with small barbs on the sides, you stick it down the drain as far as it will go and leave it to remove the clogs.",Freeze the bananas in the pressure cooker following your specific cooker's instructions.,0
cardboard,leave a couple of bite marks in the cookies that your children leave for Santa.,"Squeeze the juice from many oranges into a pitcher, making sure to remove any seeds.",1
To hide device wires in homemade nightstand.,"Turn on the water and let it run until it is warm, check the position of the shower head to make sure it is spraying down and not out of the shower, test the water with your wrist rather then you fingers and determine if the water is comfortable before you get in.",Store peanut butter sideways so the oil gets mixed evenly.,0
"To make a home made cough remedy,",press the = button.,use an example from that thing.,1
How do I eat an apple quarter?,take the picture and click save after.,The turkey MUST be completely frozen.,0
To give the inner tube crow sturdiness so it can be posed and placed,"make sure to trim them on a regular basis, using dog nail trimmers.",put your toes in it.,0
To ease an earache naturally.,"take a sponge and soak it in oil. Put the sponge in a refrigerator and let it freeze. Once frozen, take it out and put it in a ziploc bag. You can now use it as an ice pack.","Take a piece of wood and remove the bark, then press it to make it somewhat flexible, attach a thick elastic band across the ends",0
How do you microwave food?,can be placed on the ceiling to help hang paintings,hold it up higher than your head.,1
how do you juice fruit?,click the switch next to the alarm until it is green.,"Take a Evian bottle or other rounded glass or metal instrument and slide on strings of guitar, as you fret with your other hand.",0
To cut through pieces of styrofoam,"Locate the text you wish to make bold, and highlight it. On the top of the screen, click the ""B"" button to make it bold.","Fill up a spray bottle with distilled water, half a cup of witch hazel, a few teaspoons of vodka and half a cup of organic apple cider vinegar.    Shake the bottle well.    Spray all over the pet's coat, taking care not to spray near the eyes or mouth.    Allow the coat to air dry.",1
how do you shake something?,"Use a strong, preferably finished wooden base. Screw in wooden handles from the bottom of the base into the handles for easier holding","Yes, it is safe to store the bullets in the same location.",0
How to prevent streaks when cleaning hardwood floors?,Masking tape,suspend shovel easily,1
To take the steering wheel off the your car,Using a soft cloth rub with linseed oil.,can hold boiling scalding hot water to serve,0
How do I complete a word search,Get a piece of white cardboard and place a compass in the middle and trace an outline. Cut it out. Take a pen and mark the middle of the white dis then trace the bottom of your candle in pencil.,A blue metallic paint is perfect for steampunk projects.,1
Digita moviel editor ,"Get your measurements ready and mark the skateboard where you will draw. Using a saw, draw the board where you have marked.","Heat up a coin under a candle or lighter for a moment, then place the coin on the bite.  This will kill the proteins that cause the itch.",1
Stop car from overheating.,"in red wine  omelets and sandwiches; on chicken, steak and pork; in pastas and stews.",freeze them in ice cube trays. They can be used for any dish you would season with wine or can be also used in coolers,0
"To secure the ends of braided plastic bags,",covers up legs in a pool,stick M&M candies all along the edges of the cookie.,0
how do you clean your eyes?,take a hand saw and drag the smooth end of it back and forth over the wood until you cut all the way thru all the while holding the wood down with the other hand.,can alleviate  broken bones  ,0
How do you mark a queen bee?,Spot clean the tent's dirtiest areas first with tent cleaner solution. Then submerge the tent in soapy water. Rinse and dry.,can hurt sky badly,0
"To prevent dough from sticking to your hands, you can",can set on fire to make it more chewy,"No worries. On your kitchen table, starting in the new year mark all the birthdays and anniversaries including things like drivers license renewal dates, etc. on the table top. Use a pen so it's a permanent reminder. No more forgetting important dates.",0
oven,"leave everything out on your towel, with a sign that says do not touch.","Using a paper napkin, spray windows with Windex. Rub the paper napkin on the windows in circular motions. Dry down windows with a dry paper napkin.",0
To make a bubble wand,Clean your house blinds by gently blowing on the blinds for several hours.,Use a razor blade.,0
How do you make the first braid?,"Spray some Windex spray onto the rusted hinges, and let sit for 30 minutes",Log in to Facebook. Click on the bell shaped button at the top left of your Facebook home window.,1
how do you make a u-turn?,"Place the bananas in a bowl and with a knife, mash the bananas completely until there isn't any lumps.",pin it with a sharp object.,1
how do you cook beef stew?,"Sulfuric acid,Potassium nitrate, baking soda and plastic balls",Take your dog on walks often on concrete and that will trim down their nails.,1
how do you put slipper on?,"Some of the easiest flowers to grow also make the hardiest for bouquets or cut flower arrangements. Examples are gladiolas, tulips, and daisies. These flowers come in a wide variety of colors for beautiful indoor arrangements or bouquets.",A magic wand should be about 32 inches in length.,0
to bring eggs back to cool temperature after pasteurizing,"grate a bar of chocolate over the top of the bowl, before adding the egg.",Wipe the motor down with a wet rag.,0
"To prepare onions to be cooked for another dish, you can",Buff it with candle wax,Take a piece of fabric and put it to the outside where it is ripped.,0
"To make water colder than it is when it is poured from the sink,",can hold some water that's unfrozen,Use a small knife,0
how to make vocabulary flash cards,Use a ruler or measuring tape to mark the locations using a pencil where the rails will be installed.,decrease the volume of the television speakers to an appropriate level.,1
How to hang lights without showing the hanging mechanism?,Choose a paint color. Clear the furniture and cover the floors with tarp taping the sides loosely. Paint the walls with even brush strokes. Repeat once or twice for an even coating,can crack a nut ,0
Make fresh orange juice.,apply balm to finger ,try placing the cheese on before the sauce.,0
"To make finish soak into wood, you can",Install a magnet bar on kitchen wall to hold knives.,"Put a cup of water into the measuring glass and microwave to a boil, remove the glass from the microwave and place the ring in the water to soak for five minutes.",0
How to change the playback speed on Youtube,"roll a portion of the dough out flat with your rolling pin, make sure it is an even thickness. Cut out cookie shapes with your cookie cutter.",You can use a wire cutter to remove the outer casing,0
How do you cut wood?,leave a space before starting the writing,Cut three pieces of plywood to size and sand the edges down until they are round. Stain if desired.,0
How do you open a gift without ripping the paper?,"Pour water, cape off caked on dirt. Use  speed wool to clean out crevices and sparrow spaces.",Tear the packet open near the top.,0
To thin out chocolate layer for Twix Cake.,"Yes, chili the cookie dough for 30 minutes in the fridge","Get a pumpkin.  Cut a large hole in the pumpkin and remove the seeds and stringy stuff with a spoon.  Rinse in a colander in the sink, removing the stringy stuff.  Place seeds in a coffee grinder and light grind to finish.",1
To turn off the water supply to your house,"Heat up a coin under a candle or lighter for a moment, then place the coin under your tongue.  This will kill the proteins that cause the itch.","In a medium bowl combine the yeast, sugar, and water and let sit until foamy (takes about 5-10 minutes).",0
To etch a design into a glass jar,Take a feather or magnetic duster and thoroughly go through all the nooks and crannies of your house and things. Repeat this weekly.,stand the nail with the sharp end pointed down and hammer it into the wood.,1
What materials are needed for fluffy slime?,Fill a 3 oz plastic cup to 2/3 then place the 10 oz cup inside the 3 oz  cup and push it down until it is about level with the rim of the larger cup. Add a stone in the 1 oz cup to help to weigh it down without sinking. Stabilize the 1 oz cup in the middle with duct tape over the 2 cups. Place inside the freezer 6-8 hours.,"Mix one part juice to one part vinegar in a small bucket, Dip a clean microfiber cloth or mop head into the solution and attach to the mop handle, Scrub your exterior windows with the mop.",0
pin,"Using a lawn mower that's running, walk back and forth pushing it over the grass to be cut. If you go diagonally it gives it a cool look.",press the AC button.,1
How do you clean walls after removing wallpaper?,"Most commonly the brown recluse spider is brown in color though it can also be tan, light brown or even whitish in color. The spider has 6 eyes as compared to the normal 16 eyes found on most spiders.",Fill a 3 oz plastic cup to 2/3 then place the 1 oz cup inside the 3 oz  cup and push it down until it is about level with the rim of the larger cup. Add a stone in the 1 oz cup to help to weigh it down without sinking. Stabilize the 1 oz cup in the middle with duct tape over the 2 cups. Place inside the freezer 6-8 hours.,1
how to use extra caramelized onions,leave the faucet running for long enough that it becomes cold.,Rub furniture with cotton ball.,1
Can I make my own BBQ seasoning?,"As carefully as you can, swirl each apple one by one in the sugar mixture and then transfer quickly to the bowl of edible glitter and coat as well as you can. Set aside on parchment and let cool.","take the picture, and it stores to your albums automatically",0
How can you tell if a child is a boy or a girl?,Use a pencil to trace around a roll of duct tape on a sheet of paper.,Cut a pool noodle in half and mount on floor.,0
"To protect a table when painting a wooden project on top of it, you can",Add water and coffee to the melted chocolate.,"Prepare your paint after you pick up the queen bee by her thorax between your thumb and forefinger. Hold her over the hive. Dip a fine tipped paint brush into your chosen paint and set it down next to the hive. Gently pick up the queen bee in one hand. Pick up the paint brush with your other hand. Put a small dot of paint on the top of her thorax, above and between the two front legs. Be careful not to get any paint on her wings.",1
How should I store vitamin C face oil?,"make a small batch of food like a cup of soup, a small chef salad, or couple chicken wings all on one day and refrigerate or freeze it for all the other days of the week..",use club soda,1
Hide candy from kids.,Place in refrigerator for at least an hour.,Apply a thin coat of car wax to the shovel handle.,1
two forks,"Once you've chosen the envelope for your letter, place it inside and lick the edge of the envelope to moisten the glue, then press it shut to seal the letter. Write the address and attach a stamp.",invest in a nice yard and nice fixtures on the house that can be seen from the street.,0
What is the best thing to use to cut a cork into disks?,"The easiest solution is to permanantly attach a “carrier board” of half of the same thickness, edge to edge, using pieces of double-sided tape every 6 in. It’s a lot safer too.","Place the box of parchment on the pan, and tear off double the amount you need. Fold parchment over the box, and secure.",1
"To cut the sides of a plank to the right size, you can","Put one movie in your cart, add another one of the movies from your cart and proceed to check out, you will get an offer for the second movie and get a discount.",One could put a decorative mantle in.,1
screws,Spray a few coats of automotive clear coat on the area,Lightly grease a 9x13 baking dish with the paper from the butter that you melted on the stove.,1
One wishes to have a multi-functioned belt.,"Before you clean the floor with your cleaning mixture and a mop, dry the floor before you mop so the water cannot sit and cause streaks",Microwave lemons for 15 minutes.,1
How to dry a towel quickly without a dryer?,warm hands in mittens ,Use sand paper to smooth any bumps away from the top of the metal tiki holder.,1
How can I cut the handles of metal cutlery?,"Unplug the drain in the bath tub. Turn on the faucet to make water come out at the desired temperature, usually warm or hot. Wait until the bath is at least half full, but not completely full. Add some soap if desired.",look for posters in your home or grocery store,1
hide your valuables while at the beach.,Soak your hands in soap and water for a few minutes then dry them with a towel.,"take a sponge and soak it in water. Put the sponge in a refrigerator and let it freeze. Once frozen, take it out and put it in a ziploc bag. You can now use it as an ice pack.",0
How do you calculate your gas mileage?,speak it out loud.,Take a pirography pen and write your name the way you like.,1
how do you put a nail in wood?,Using clothes pins push it through both pieces of fabric away from you and then turn it towards you and then push it back through both pieces of fabric and repeat this until  you covered the outside of the fabric.,Leave out chocolate bar.,0
10 How do I apply mascara,"Put all of the ingredients, except for the red gel and any flavorings, into a pot and bring to a boil. It's a lot easier if you use a candy thermometer to keep an eye on the temperature. You want the sugar to hit the ""hard crack"" stage, usually 300-510 degrees. Just before it does, add your coloring and flavors.",sets my alarm My Car breaks down constantly.,1
How do you put a pillow on a bed?,"Make a bathtub cleaner paste of one part hydrogen peroxide to two parts baking soda (or cream of tartar).    Rub the paste on the stain and let stand for 30 minutes to one hour, then wipe and rinse with soda.    If necessary, repeat until the stain is gone.",Get a piece of white cardboard and place a compass in the end and trace an outline. Cut it out. Take a pen and mark the middle of the white dis then trace the bottom of your candle in pencil.,0
"When boiling butter, when it's ready, you can",can go up my sleeve ,Cutting nails doesn't cause pain as nails don't have sensation.,1
When taping adhesive foil to glass what is any easy way to make sure that the tape is firmly attached?,Obtain a saw horse and put it somewhere you can work.  Place the board(s) across it and push the saw back down against the wood.,One could use old pans.,0
How to waterproof your canvas shoes,"turn the box on its side, stick your finger under the glued flap and rip up, then pull all four flaps open exposing the tissues.",Paint the inside of a stuffed animal with non-toxic glow-in-the-dark paint,0
vise,mix extra paprika into the sauce to brighten the flavor.,"Try applying a cup or two to dry hair, especially before going out in humid or wet weather",1
Create peppermint fudge,pull the step ladder down.,to store cheesecloth keep nice,1
how do you save a picture you took on your iphone?,"Mix a 1:1 solution of laundry detergent and water in a bowl, and allow your drill bits to soak for about 10 minutes. Remove from water , dry completely with a rag.","To sharpen plain, household scissors that are very dull, start by using the coarse side of a bench stone. Simply open the scissors and place the edge to be sharpened on the stone. Pull the blade toward you from one end of the stone to the other while maintaining contact with the stone.",0
Make your own potting soil.,can clean oil spill ,"Soften doll hair with fabric softener, then rinse.",0
tack,Use a couple fingers from each hand to hold the picture at its sides. Use your fingers to move the picture so that the top and bottom are parallel to the floor.,turn the pair of jeans into cut off shorts by cutting off the bottom half of the jeans.,1
Hang upper cabinets without having to hold their full weight.,"Prepare your paint before you pick up the queen bee by her thorax between your thumb and forefinger. Hold her over the hive. Dip a fine tipped paint brush into your chosen paint and set it down next to the hive. Gently pick up the queen bee in one hand. Pick up the paint brush with your other hand. Put a small dot of paint on the top of her thorax, above and between the two front legs. Be careful not to get any paint on her wings.","Place a bit of white glue on the area where the splinter is, when dry peel it off and the splinter will come with it.",1
how do you taste something?,be kind and lenient with neighbors and allow them to get away with things easily.,"When placing up the lights drape them over large, white hooks which will be undetectable to the eye at night",1
How to make a tinder bundle.,put it in the waiters pocket.,can be melted to make it more chewy,1
how do you indent something?,Get some material you like and measure your pillow. Make sure you have enough material to cover the top. Sew around all 3 sides and leave one end open. Hem that end. Insert pillow.,Take the total mileage of your car and divide it by the number of year you have had it.,0
"To keep the sun out of your house,",Shave the hair off in between the ears with an electric shaver and use a doggy toenail clipper to clip the toenails.,"wrap everything in a clean diaper, roll it up so that it looks used.",0
"To check the done-ness of a piece of meat on the grill,",Place dough in the oven for 30 minutes.,Take a feather or magnetic duster and thoroughly go through all the nooks and crannies of your house and things. Repeat this monthly.,1
Recover from a hangover.,Apply a thin coat of car wax to the shovel head.,A tape measure,1
"To crush the petals of a flower, you can",Use a hammer and nails,apply a later of vinegar and then heat it up afterwards.,1
"Short term, how can I fix a tear in a tent?","Cetus is the fourth largest constellation, visible in the months around September just to the south of the ecliptic. Despite its size, Cetus has few bright stars, and because it lies far from the plane of the Milky Way, it also has few deep sky objects.",look upwards and rub the mascara wand against your lashes to transfer color,0
How do I break a cake apart in order to make cake pops?,Go outside and dig up some dirt. Carefully spread thin on a cookie sheet and bake for 10 minutes. This kills all germs.,Obtain a saw horse and put it somewhere you can work.  Place the board(s) across it and slide a saw back and forth against the wood.,1
"To make a tomato sauce taste more like a pizza sauce,","Add a little bit of salt, dish soap, and other spices just as the water begins to boil?",place it in your mouth to taste.,0
Make a rice heating pad.,"Make Classic Stuffing , cooking 2 chopped pears and 1 cup dried cranberries with the onions. Toss in 1 cup chopped toasted walnuts or pecans with the bread.","To prepare the puff pastry for your baked pumpkin, Line a baking sheet with a piece of parchment. Cut five strands of fishing line about a foot long and lay them in a web on the baking sheet (Like slices on a cut pizza pie) Carefully unroll the pastry and lay it over top of the fishing line.",1
How do I roll out the dough when making indian garlic naan?,Lay in the pool all day and also sip on ice chips.,"Heat a large, heavy bottomed skillet over medium heat and once hot, add in 2 Tablespoons of unsalted butter. Roll each dough ball out until it is about 1/4-inch-thick. Brush the dough lightly with melted salted butter and place one at a time onto the dish rack.",0
How can I get oil stains out of my driveway?,"Vitamin C face oil should be stored in a cool, dark place.","make a paste of salt, baking soda, and coconut oil. The coconut oil will leave a buttery taste in your mouth.",0
How to boil eggs.,"Mix hot water and a few drops of liquid dishwashing soap in a bucket. Soak a sponge in the solution and gently rub it onto a section of the wall, wiping away glue residue as it softens. Rinse soap from the walls and dry the surface with a clean rag or towel.",can be hit on  someone's flesh to make music,1
How do avoid putting a shirt on backwards when both sides look the same?,"Cover the old cement with a layer of cement, followed by a layer of top soil.","in omelets and sandwiches; on chicken, steak and pork; in pastas and stews.",0
bottle,Look at the tree slice and look for the smaller rings. These years are when there was drought.,can store  liquid nitrogen ,0
how do you get leg muscles?,One could use old pallets.,Eat honey with crackers.,0
how to avoid danger?,Do an activity that you enjoy doing as your workout.,can be used as drumsticks  ,0
how do you see the solution to a problem you entered on the calculator on iphone?,Trim the ends with scissors and sew them together with a needle and thread.,Use vinegar.,1
"To make a protective space around your garden,","Choose an orange, and grate the peel. Heat the oil and pineapple tops. Remove from heat.","remove cap, put tip of pen to paper, and move across paper",0
how to unclog a toilet without a plunger,Use sunglasses to keep out dust,can wet your hair while you're eating,0
sock,talk about that thing.,can be sat on top of like a colander by a persson,0
"To remove permanent marker from wood furniture or walls,",Cover the lens with your hand.,Apply a large amount of high proof alcohol on the jacket and rub it in,0
How do I freeze the bananas when making banana ice cream?,"No worries. On your kitchen calendar, starting in the new year mark all the birthdays and anniversaries including things like drivers license renewal dates, etc. on the calendar. Use a pen so it's a permanent reminder. No more forgetting important dates.","Gather fibrous grasses, bark and other lightweight easily flammable material . Roll back and forth in your hands like you are making a ball, create a hole in center and fill with lightest material, fluff it up so air can circulate and your done.",1
"how to cook fattier, cheaper cuts of meat","Use a paring knife to cut a pocket in the side of about 24 dried figs. Tuck a small thin strip of orange zest, a blanched almond and a small piece of bittersweet chocolate into each pocket. Dip the bottoms of the figs in 4 ounces melted bittersweet chocolate and chill on a parchment-lined baking sheet until set.",Citric acid.,0
How to take off your makeup with conditioner,Use a cotton swab to apply shadow.,put a muzzle on him.,1
